id,name
0,Afghanistan
1,Albania
2,Algeria
3,Andorra
4,Angola
5,Argentina
6,Armenia
7,Australia
8,Austria
9,Azerbaijan
10,Bahamas
11,Bahrain
12,Bangladesh
13,Barbados
14,Belgium
15,Belize
16,Bolivia
17,Bosnia-Herzegovina
18,Botswana
19,Brazil
20,Bulgaria
21,Burkina Faso
22,Burundi
23,Belarus
24,Cambodia
25,Cameroon
26,Canada
27,Central African Republic
28,Chad
29,Chile
30,China
31,Colombia
32,Republic of the Congo
33,Costa Rica
34,Croatia
35,Cuba
36,Cyprus
37,Czech Republic
38,Denmark
39,Djibouti
40,Dominican Republic
41,Ecuador
42,Egypt
43,El Salvador
44,Eritrea
45,Estonia
46,Ethiopia
47,Falkland Islands
48,Fiji
49,Finland
50,France
51,French Guiana
52,French Polynesia
53,Gabon
54,Georgia
55,Germany
56,Ghana
57,Greece
58,Grenada
59,Guadeloupe
60,Guatemala
61,Guinea
62,Guinea-Bissau
63,Guyana
64,Haiti
65,Honduras
66,Hong Kong
67,Hungary
68,Iceland
69,India
70,Indonesia
71,Iran
72,Iraq
73,Ireland
74,Israel
75,Italy
76,Ivory Coast
77,Jamaica
78,Japan
79,Jordan
80,Kazakhstan
81,Kenya
82,Kuwait
83,Kyrgyzstan
84,Laos
85,Latvia
86,Lebanon
87,Lesotho
88,Liberia
89,Libya
90,Lithuania
91,Luxembourg
92,Macau
93,Macedonia
94,Madagascar
95,Malaysia
96,Maldives
97,Mali
98,Malta
99,Martinique
100,Mauritania
101,Mexico
102,Moldova
103,Morocco
104,Mozambique
105,Myanmar
106,Namibia
107,Nepal
108,Netherlands
109,New Caledonia
110,New Zealand
111,Nicaragua
112,Niger
113,Nigeria
114,Norway
115,Pakistan
116,West Bank and Gaza Strip
117,Panama
118,Papua New Guinea
119,Paraguay
120,Peru
121,Philippines
122,Poland
123,Portugal
124,Qatar
125,Romania
126,Russia
127,Rwanda
128,Saudi Arabia
129,Senegal
130,Serbia-Montenegro
131,Seychelles
132,Sierra Leone
133,Singapore
134,Slovak Republic
135,Slovenia
136,Somalia
137,South Africa
138,South Korea
139,Spain
140,Sri Lanka
141,Sudan
142,Suriname
143,Swaziland
144,Sweden
145,Switzerland
146,Syria
147,Taiwan
148,Tajikistan
149,Tanzania
150,Togo
151,Thailand
152,Trinidad and Tobago
153,Tunisia
154,Turkey
155,Turkmenistan
156,Uganda
157,Ukraine
158,United Arab Emirates
159,United States
160,Uruguay
161,Uzbekistan
162,Vanuatu
163,Vatican City
164,Venezuela
165,Vietnam
166,Wallis and Futuna
167,Yemen
168,Democratic Republic of the Congo
169,Zambia
170,Zimbabwe
171,Yugoslavia
172,Czechoslovakia
173,East Timor
174,Western Sahara
175,Soviet Union
176,West Germany (FRG)
177,North Yemen
178,Rhodesia
179,South Yemen
180,International
181,South Vietnam
182,East Germany (GDR)
183,New Hebrides
184,United Kingdom
185,Zaire
186,People's Republic of the Congo
187,Serbia
188,Montenegro
189,Kosovo
190,South Sudan